DATE,PCU33443344
01-12-1984,100
01-01-1985,100.5
01-02-1985,100.8
01-03-1985,100.9
01-04-1985,100.6
01-05-1985,100.1
01-06-1985,100.1
01-07-1985,100.4
01-08-1985,100.5
01-09-1985,100.5
01-10-1985,100.5
01-11-1985,100.6
01-12-1985,100.8
01-01-1986,101.4
01-02-1986,101.6
01-03-1986,101.8
01-04-1986,102
01-05-1986,102.1
01-06-1986,102.3
01-07-1986,102.8
01-08-1986,102.7
01-09-1986,103.1
01-10-1986,103.2
01-11-1986,103.1
01-12-1986,103.2
01-01-1987,103
01-02-1987,103
01-03-1987,102.7
01-04-1987,102.5
01-05-1987,102.2
01-06-1987,102.2
01-07-1987,102.6
01-08-1987,102.6
01-09-1987,102.5
01-10-1987,102.7
01-11-1987,102.6
01-12-1987,103
01-01-1988,103.2
01-02-1988,103.8
01-03-1988,103.7
01-04-1988,103.2
01-05-1988,103.8
01-06-1988,104
01-07-1988,104.1
01-08-1988,104.4
01-09-1988,104.6
01-10-1988,104.3
01-11-1988,104.6
01-12-1988,104.7
01-01-1989,104.7
01-02-1989,104.9
01-03-1989,105
01-04-1989,105
01-05-1989,105.1
01-06-1989,105.2
01-07-1989,105.2
01-08-1989,105.3
01-09-1989,105.2
01-10-1989,105.5
01-11-1989,105.3
01-12-1989,104.9
01-01-1990,105.1
01-02-1990,104.8
01-03-1990,104.9
01-04-1990,104.8
01-05-1990,104.8
01-06-1990,104.9
01-07-1990,105.4
01-08-1990,104.8
01-09-1990,104.8
01-10-1990,104.8
01-11-1990,104.7
01-12-1990,104.9
01-01-1991,105.4
01-02-1991,105.5
01-03-1991,105.3
01-04-1991,105.3
01-05-1991,104.9
01-06-1991,105.1
01-07-1991,104.9
01-08-1991,104.8
01-09-1991,104.6
01-10-1991,104.5
01-11-1991,104.4
01-12-1991,104.5
01-01-1992,104.3
01-02-1992,104.8
01-03-1992,105.4
01-04-1992,105.4
01-05-1992,104.8
01-06-1992,104.7
01-07-1992,104.5
01-08-1992,104.3
01-09-1992,104.2
01-10-1992,104.3
01-11-1992,104.1
01-12-1992,104.5
01-01-1993,104.6
01-02-1993,105.2
01-03-1993,105.3
01-04-1993,105.7
01-05-1993,105.5
01-06-1993,105.5
01-07-1993,105.2
01-08-1993,105.3
01-09-1993,105.4
01-10-1993,105.3
01-11-1993,105.6
01-12-1993,105.3
01-01-1994,105.3
01-02-1994,105.4
01-03-1994,105.4
01-04-1994,105.5
01-05-1994,105.4
01-06-1994,105.5
01-07-1994,105.4
01-08-1994,104.7
01-09-1994,104.2
01-10-1994,103.6
01-11-1994,103.5
01-12-1994,103.3
01-01-1995,103.1
01-02-1995,103.6
01-03-1995,102.8
01-04-1995,102.9
01-05-1995,102.7
01-06-1995,102.5
01-07-1995,102.1
01-08-1995,102
01-09-1995,102.1
01-10-1995,102.3
01-11-1995,102.3
01-12-1995,102.2
01-01-1996,102
01-02-1996,101.8
01-03-1996,100.6
01-04-1996,99.7
01-05-1996,99.1
01-06-1996,98.7
01-07-1996,98.7
01-08-1996,98.7
01-09-1996,98.8
01-10-1996,98
01-11-1996,97.8
01-12-1996,97.8
01-01-1997,97.2
01-02-1997,96.6
01-03-1997,96.6
01-04-1997,96.2
01-05-1997,95.4
01-06-1997,95.5
01-07-1997,95.5
01-08-1997,94.2
01-09-1997,94.2
01-10-1997,93.6
01-11-1997,93.3
01-12-1997,93.3
01-01-1998,92.9
01-02-1998,92.6
01-03-1998,92.5
01-04-1998,92.4
01-05-1998,92.1
01-06-1998,92
01-07-1998,91.7
01-08-1998,91.5
01-09-1998,91.3
01-10-1998,91.2
01-11-1998,91
01-12-1998,91
01-01-1999,90.8
01-02-1999,90.7
01-03-1999,90.7
01-04-1999,90.5
01-05-1999,90.4
01-06-1999,89.9
01-07-1999,89.7
01-08-1999,89.9
01-09-1999,90
01-10-1999,89.7
01-11-1999,89.5
01-12-1999,89.3
01-01-2000,88.8
01-02-2000,88.6
01-03-2000,88.6
01-04-2000,88.9
01-05-2000,88.5
01-06-2000,88.8
01-07-2000,89.3
01-08-2000,89.2
01-09-2000,89.1
01-10-2000,88.8
01-11-2000,88.6
01-12-2000,87.9
01-01-2001,87.9
01-02-2001,87.5
01-03-2001,87.3
01-04-2001,87.1
01-05-2001,86.9
01-06-2001,86.5
01-07-2001,86.3
01-08-2001,85.6
01-09-2001,85.4
01-10-2001,85.3
01-11-2001,85.4
01-12-2001,85.4
01-01-2002,85.7
01-02-2002,85.8
01-03-2002,86.1
01-04-2002,85.4
01-05-2002,84.9
01-06-2002,84.8
01-07-2002,84.8
01-08-2002,84.6
01-09-2002,84.6
01-10-2002,84.3
01-11-2002,84.3
01-12-2002,83
01-01-2003,82.8
01-02-2003,82.4
01-03-2003,82.4
01-04-2003,82.6
01-05-2003,82.7
01-06-2003,82.1
01-07-2003,82.1
01-08-2003,80
01-09-2003,79.1
01-10-2003,79.1
01-11-2003,79.3
01-12-2003,78.4
01-01-2004,77.7
01-02-2004,78.4
01-03-2004,78.1
01-04-2004,78.8
01-05-2004,78.3
01-06-2004,78.5
01-07-2004,78.5
01-08-2004,78.3
01-09-2004,78.2
