Sales,CO2_Emissions,Tesla_Open,Tesla_High,Tesla_Low,Tesla_Close,Tesla_Adj_Close,Tesla_Volume,GDP Deflator,Coal,Distillate,Residual,Kerosene,Propane,Natural Gas,Electricity,Wood,Motor Gasoline,Jet Fuel,Chip_Cost,Electricity_Price
35526,5449.900033,1.615999857,1.640476286,1.579428571,1.618952429,1.618952429,17116928.57,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,61.9,0.125
35526,5449.900033,1.559684316,1.592456105,1.521999947,1.555578947,1.555578947,23134342.11,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,62.2,0.125
35526,5449.900033,1.57605787,1.604637739,1.548695652,1.580579783,1.580579783,21236934.78,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,62.1,0.127
35526,5449.900033,1.7526333,1.78156675,1.7092999,1.74439995,1.74439995,22421175,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,62,0.127
35526,5449.900033,1.842349095,1.874698381,1.794698476,1.84085719,1.84085719,21677714.29,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,62,0.129
35526,5449.900033,1.871969773,1.912878818,1.828030318,1.858939318,1.858939318,27086795.45,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,62.1,0.134
35526,5449.900033,1.89843335,1.93253325,1.86596665,1.89426675,1.89426675,15826575,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,61.8,0.135
35526,5449.900033,1.666463783,1.708956565,1.609333391,1.654637696,1.654637696,17749369.57,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,61.6,0.135
35526,5449.900033,1.642317381,1.680920667,1.597365095,1.640634857,1.640634857,12872500,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,60.9,0.135
35526,5449.900033,1.81260319,1.860857143,1.776793667,1.833238,1.833238,15473285.71,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,61.1,0.13
35526,5449.900033,2.11939681,2.176127,2.075714333,2.138666762,2.138666762,18462000,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,60.7,0.128
35526,5449.900033,2.001555571,2.038254,1.958666667,1.998666619,1.998666619,15091785.71,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,60.2,0.127
106342,5229.594013,1.8503999,1.8847,1.7973,1.83266655,1.83266655,19207425,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.7,0.128
106342,5229.594013,2.1676333,2.21390005,2.12116655,2.1841333,2.1841333,17395200,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.8,0.128
106342,5229.594013,2.342333318,2.385606045,2.305485,2.349393909,2.349393909,15111477.27,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.7,0.127
106342,5229.594013,2.24333325,2.27556675,2.1985334,2.233,2.233,17064675,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.8,0.127
106342,5229.594013,2.070666727,2.114333318,2.009333364,2.051575773,2.051575773,23308159.09,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,60,0.129
106342,5229.594013,2.04711119,2.09247619,1.993904857,2.041555571,2.041555571,18662214.29,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.7,0.135
106342,5229.594013,2.078984143,2.127238095,2.026380952,2.06946019,2.06946019,23245285.71,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.6,0.133
106342,5229.594013,1.938840478,1.976869609,1.897623261,1.936318913,1.936318913,15966586.96,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.4,0.133
106342,5229.594013,1.951263158,1.996315789,1.918280684,1.953613947,1.953613947,26285605.26,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.3,0.133
106342,5229.594013,1.903301524,1.923142905,1.860603095,1.889555524,1.889555524,12586357.14,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.3,0.128
106342,5229.594013,2.094952381,2.145523762,2.061809476,2.11552381,2.11552381,16972071.43,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.1,0.127
106342,5229.594013,2.27300005,2.3108333,2.2471333,2.27836665,2.27836665,16285725,0.847304604,5.78,25.8,18.36,29.62,21.33,7.6,44.13,,,,58.8,0.127
194204,5361.090748,2.344126905,2.377079333,2.307587238,2.345904619,2.345904619,20331857.14,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,58.9,0.129
194204,5361.090748,2.501894737,2.543368421,2.455087632,2.491087579,2.491087579,34938947.37,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,58.9,0.129
194204,5361.090748,2.46696655,2.5087333,2.4356333,2.46953345,2.46953345,22241250,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,58.7,0.128
194204,5361.090748,3.062030273,3.160090909,3.002636318,3.082363727,3.082363727,55600977.27,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,59.1,0.128
194204,5361.090748,5.434545409,5.673363682,5.174939409,5.426606,5.426606,225832431.8,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,59.4,0.131
194204,5361.090748,6.68223325,6.8550667,6.51699995,6.69870005,6.69870005,134336025,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,59.4,0.137
194204,5361.090748,8.189091,8.395303091,7.970454545,8.210333364,8.210333364,156496500,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,59.5,0.137
194204,5361.090748,9.994242455,10.21930291,9.793090864,10.02712123,10.02712123,176772681.8,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,59.4,0.137
194204,5361.090748,11.5328,11.74923325,11.3521667,11.59816655,11.59816655,128407950,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,59.2,0.137
194204,5361.090748,11.73750735,11.96237687,11.35295648,11.64582617,11.64582617,168557478.3,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,59.3,0.132
194204,5361.090748,9.21996665,9.4202666,8.8977667,9.1504333,9.1504333,231291375,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,59.4,0.13
194204,5361.090748,9.641587286,9.868095333,9.47247619,9.653999952,9.653999952,141169928.6,0.859716198,5.78,25.05,16.84,29.68,21.01,7.73,45,,,,59.4,0.131
237764,5417.285716,10.84949205,11.1614921,10.62641276,10.93679362,10.93679362,131380214.3,0.873662712,5.78,21.81,14.75,29.84,22.22,8.04,47.25,,,,58.9,0.134
237764,5417.285716,13.74933342,14.08494737,13.43259637,13.73487711,13.73487711,178384815.8,0.873662712,5.78,21.81,14.75,29.84,22.22,8.04,47.25,,,,58.8,0.134
237764,5417.285716,15.72158743,15.93736524,15.28403167,15.54311105,15.54311105,119061142.9,0.873662712,5.78,21.81,14.75,29.84,22.22,8.04,47.25,,,,58.8,0.135
237764,5417.285716,13.8827619,14.22085714,13.46314281,13.88584129,13.88584129,118005571.4,0.873662712,5.78,21.81,14.75,29.84,22.22,8.04,47.25,,,,58.7,0.131
237764,5417.285716,13.26,13.55904771,13.04974605,13.31161914,13.31161914,96292928.57,0.873662712,5.78,21.81,14.75,29.84,22.22,8.04,47.25,,,,58.7,0.136
237764,5417.285716,14.55828567,14.87269857,14.38542857,14.64390476,14.64390476,88116214.29,0.873662712,5.78,21.81,14.75,29.84,22.22,8.04,47.25,,,,58.7,0.143
237764,5417.285716,14.93251518,15.16387891,14.67818182,14.88306068,14.88306068,73604113.64,0.873662712,5.78,21.81,14.75,29.84,22.22,8.04,47.25,,,,58.8,0.143
237764,5417.285716,16.96117457,17.22733314,16.8027939,17.03917433,17.03917433,82033714.29,0.873662712,5.78,21.81,14.75,29.84,22.22,8.04,47.25,,,,58.7,0.143
