,Sales,CO2_Emissions,Tesla_Open,Tesla_High,Tesla_Low,Tesla_Close,Tesla_Adj_Close,Tesla_Volume,GDP Deflator,Coal,Distillate,Residual,Kerosene,Propane,Natural Gas,Electricity,Wood,Motor Gasoline,Jet Fuel,Chip_Cost,Electricity_Price
Sales,1.0,-0.48455537573973223,0.8108798321749845,0.8135481228851403,0.8087071394124298,0.8112966384253483,0.8112966384253483,0.5504426518453743,0.9600345896206547,-0.4654901155069303,-0.5566665677688823,-0.5741648641906366,-0.3692626567119555,-0.47724981696016666,-0.5024008708625892,-0.6569826427916603,,,,-0.8835517987680852,0.41900352144318415
CO2_Emissions,-0.48455537573973223,1.0,-0.5419060821585776,-0.5385909868542603,-0.5394718051585703,-0.538449475536788,-0.538449475536788,-0.1954608463924393,-0.6093280045181544,0.5749580109789181,0.6903100886650675,0.6683844377594531,0.6931519923848037,0.7993316237898399,0.8401840200134342,0.8445558355947733,,,,0.6693650626085961,-0.4866874878197101
Tesla_Open,0.8108798321749845,-0.5419060821585776,1.0,0.9999620847031755,0.9999293810840898,0.9999668241962839,0.9999668241962839,0.5724955289163519,0.9072172746167062,-0.5250773861519313,-0.7605547803389532,-0.774985313305451,-0.5811008038369427,-0.6270735356504626,-0.6192649817510358,-0.4458067130989734,,,,-0.8541390859068819,0.7141972745046885
Tesla_High,0.8135481228851403,-0.5385909868542603,0.9999620847031755,1.0,0.9998529604132947,0.9999578380275066,0.9999578380275066,0.5765292982201516,0.9087457584948074,-0.5255984434696165,-0.7589654078804309,-0.7735713327822861,-0.5786138114135908,-0.6260649584330541,-0.6180124529547548,-0.44614002181276713,,,,-0.8549614768601884,0.7132478224684854
Tesla_Low,0.8087071394124298,-0.5394718051585703,0.9999293810840898,0.9998529604132947,1.0,0.9999575261266973,0.9999575261266973,0.5671653313669496,0.9061593320389282,-0.5247002123978052,-0.762214230151805,-0.7765132306782501,-0.5834886699562932,-0.6282599630151473,-0.620451055695067,-0.4454076231263875,,,,-0.853416774981184,0.7154470655609501
Tesla_Close,0.8112966384253483,-0.538449475536788,0.9999668241962839,0.9999578380275066,0.9999575261266973,1.0,1.0,0.5720530988946028,0.9076326101844543,-0.525080583683002,-0.7605219076015128,-0.7750071538763311,-0.5809974060473078,-0.627149614492789,-0.6191260316746718,-0.4458595874635129,,,,-0.8541975947847706,0.7142818702128314
Tesla_Adj_Close,0.8112966384253483,-0.538449475536788,0.9999668241962839,0.9999578380275066,0.9999575261266973,1.0,1.0,0.5720530988946028,0.9076326101844543,-0.525080583683002,-0.7605219076015128,-0.7750071538763311,-0.5809974060473078,-0.627149614492789,-0.6191260316746718,-0.4458595874635129,,,,-0.8541975947847706,0.7142818702128314
Tesla_Volume,0.5504426518453743,-0.1954608463924393,0.5724955289163519,0.5765292982201516,0.5671653313669496,0.5720530988946028,0.5720530988946028,1.0,0.557187321198318,-0.438797832525761,-0.20942165095491463,-0.24294157714328926,-0.04804865279841246,-0.21911014898299147,-0.2278700972514133,-0.1581316864346367,,,,-0.4776661796228987,0.3906149540645149
GDP Deflator,0.9600345896206547,-0.6093280045181544,0.9072172746167062,0.9087457584948074,0.9061593320389282,0.9076326101844543,0.9076326101844543,0.557187321198318,1.0,-0.5833753772629405,-0.7006802597357642,-0.7141504612723606,-0.5184475624849613,-0.6245937528708437,-0.6499204075984344,-0.6658456932059413,,,,-0.9493955010470253,0.5280859050695367
Coal,-0.4654901155069303,0.5749580109789181,-0.5250773861519313,-0.5255984434696165,-0.5247002123978052,-0.525080583683002,-0.525080583683002,-0.438797832525761,-0.5833753772629405,1.0,0.38600050509611233,0.40789195468563616,0.2756326740657282,0.6642260006515759,0.7199686085272484,0.4293305708690478,,,,0.689366842983683,-0.38884111462683096
Distillate,-0.5566665677688823,0.6903100886650675,-0.7605547803389532,-0.7589654078804309,-0.762214230151805,-0.7605219076015128,-0.7605219076015128,-0.20942165095491463,-0.7006802597357642,0.38600050509611233,1.0,0.9969894523108542,0.958810000893859,0.8805684954093737,0.8565761435451923,0.6204736886761476,,,,0.7242130843646035,-0.5512660820730635
Residual,-0.5741648641906366,0.6683844377594531,-0.774985313305451,-0.7735713327822861,-0.7765132306782501,-0.7750071538763311,-0.7750071538763311,-0.24294157714328926,-0.7141504612723606,0.40789195468563616,0.9969894523108542,1.0,0.9531751409530499,0.893490041049237,0.8616292303932012,0.615354440281435,,,,0.734572908009853,-0.5660602372408637
Kerosene,-0.3692626567119555,0.6931519923848037,-0.5811008038369427,-0.5786138114135908,-0.5834886699562932,-0.5809974060473078,-0.5809974060473078,-0.04804865279841246,-0.5184475624849613,0.2756326740657282,0.958810000893859,0.9531751409530499,1.0,0.8720073335620383,0.8478894390966346,0.6355343346133416,,,,0.5736757197534511,-0.4359950748137565
Propane,-0.47724981696016666,0.7993316237898399,-0.6270735356504626,-0.6260649584330541,-0.6282599630151473,-0.627149614492789,-0.627149614492789,-0.21911014898299147,-0.6245937528708437,0.6642260006515759,0.8805684954093737,0.893490041049237,0.8720073335620383,1.0,0.9753098578190116,0.6849913149099089,,,,0.7201200102518626,-0.4777674875779987
Natural Gas,-0.5024008708625892,0.8401840200134342,-0.6192649817510358,-0.6180124529547548,-0.620451055695067,-0.6191260316746718,-0.6191260316746718,-0.2278700972514133,-0.6499204075984344,0.7199686085272484,0.8565761435451923,0.8616292303932012,0.8478894390966346,0.9753098578190116,1.0,0.760759206936017,,,,0.7618575608757425,-0.4406076054239451
Electricity,-0.6569826427916603,0.8445558355947733,-0.4458067130989734,-0.44614002181276713,-0.4454076231263875,-0.4458595874635129,-0.4458595874635129,-0.1581316864346367,-0.6658456932059413,0.4293305708690478,0.6204736886761476,0.615354440281435,0.6355343346133416,0.6849913149099089,0.760759206936017,1.0,,,,0.7282689913882712,-0.14343051022158437
Wood,,,,,,,,,,,,,,,,,,,,,
Motor Gasoline,,,,,,,,,,,,,,,,,,,,,
Jet Fuel,,,,,,,,,,,,,,,,,,,,,
Chip_Cost,-0.8835517987680852,0.6693650626085961,-0.8541390859068819,-0.8549614768601884,-0.853416774981184,-0.8541975947847706,-0.8541975947847706,-0.4776661796228987,-0.9493955010470253,0.689366842983683,0.7242130843646035,0.734572908009853,0.5736757197534511,0.7201200102518626,0.7618575608757425,0.7282689913882712,,,,1.0,-0.5050482134295772
Electricity_Price,0.41900352144318415,-0.4866874878197101,0.7141972745046885,0.7132478224684854,0.7154470655609501,0.7142818702128314,0.7142818702128314,0.3906149540645149,0.5280859050695367,-0.38884111462683096,-0.5512660820730635,-0.5660602372408637,-0.4359950748137565,-0.4777674875779987,-0.4406076054239451,-0.14343051022158437,,,,-0.5050482134295772,1.0
