DATE,Electricity per Kilowatt-Hour
01-11-1978,0.046
01-12-1978,0.046
01-01-1979,0.046
01-02-1979,0.047
01-03-1979,0.047
01-04-1979,0.048
01-05-1979,0.049
01-06-1979,0.052
01-07-1979,0.053
01-08-1979,0.053
01-09-1979,0.053
01-10-1979,0.053
01-11-1979,0.051
01-12-1979,0.052
01-01-1980,0.053
01-02-1980,0.055
01-03-1980,0.056
01-04-1980,0.056
01-05-1980,0.058
01-06-1980,0.063
01-07-1980,0.064
01-08-1980,0.064
01-09-1980,0.065
01-10-1980,0.063
01-11-1980,0.061
01-12-1980,0.062
01-01-1981,0.063
01-02-1981,0.064
01-03-1981,0.065
01-04-1981,0.066
01-05-1981,0.067
01-06-1981,0.071
01-07-1981,0.073
01-08-1981,0.075
01-09-1981,0.074
01-10-1981,0.072
01-11-1981,0.071
01-12-1981,0.071
01-01-1982,0.073
01-02-1982,0.073
01-03-1982,0.075
01-04-1982,0.075
01-05-1982,0.075
01-06-1982,0.079
01-07-1982,0.079
01-08-1982,0.079
01-09-1982,0.079
01-10-1982,0.077
01-11-1982,0.074
01-12-1982,0.075
01-01-1983,0.075
01-02-1983,0.075
01-03-1983,0.076
01-04-1983,0.075
01-05-1983,0.077
01-06-1983,0.081
01-07-1983,0.082
01-08-1983,0.082
01-09-1983,0.082
01-10-1983,0.08
01-11-1983,0.077
01-12-1983,0.077
01-01-1984,0.078
01-02-1984,0.079
01-03-1984,0.079
01-04-1984,0.08
01-05-1984,0.081
01-06-1984,0.086
01-07-1984,0.087
01-08-1984,0.089
01-09-1984,0.084
01-10-1984,0.081
01-11-1984,0.079
01-12-1984,0.078
01-01-1985,0.079
01-02-1985,0.079
01-03-1985,0.079
01-04-1985,0.08
01-05-1985,0.08
01-06-1985,0.085
01-07-1985,0.085
01-08-1985,0.085
01-09-1985,.
01-10-1985,0.082
01-11-1985,0.08
01-12-1985,0.08
01-01-1986,0.081
01-02-1986,0.075
01-03-1986,0.075
01-04-1986,0.074
01-05-1986,0.074
01-06-1986,0.08
01-07-1986,0.08
01-08-1986,0.08
01-09-1986,0.08
01-10-1986,0.074
01-11-1986,0.073
01-12-1986,0.073
01-01-1987,0.075
01-02-1987,0.076
01-03-1987,0.076
01-04-1987,0.076
01-05-1987,0.076
01-06-1987,0.084
01-07-1987,0.084
01-08-1987,0.085
01-09-1987,0.084
01-10-1987,0.078
01-11-1987,0.077
01-12-1987,0.077
01-01-1988,0.078
01-02-1988,0.078
01-03-1988,0.078
01-04-1988,0.077
01-05-1988,0.077
01-06-1988,0.084
01-07-1988,0.084
01-08-1988,0.084
01-09-1988,0.084
01-10-1988,0.08
01-11-1988,0.078
01-12-1988,0.078
01-01-1989,0.079
01-02-1989,0.079
01-03-1989,0.079
01-04-1989,0.079
01-05-1989,0.08
01-06-1989,0.086
01-07-1989,0.086
01-08-1989,0.086
01-09-1989,0.086
01-10-1989,0.081
01-11-1989,0.08
01-12-1989,0.081
01-01-1990,0.081
01-02-1990,0.081
01-03-1990,0.081
01-04-1990,0.082
01-05-1990,0.082
01-06-1990,0.088
01-07-1990,0.087
01-08-1990,0.087
01-09-1990,0.088
01-10-1990,0.083
01-11-1990,0.082
01-12-1990,0.082
01-01-1991,0.084
01-02-1991,0.084
01-03-1991,0.085
01-04-1991,0.084
01-05-1991,0.085
01-06-1991,0.09
01-07-1991,0.091
01-08-1991,0.09
01-09-1991,0.091
01-10-1991,0.087
01-11-1991,0.084
01-12-1991,0.085
01-01-1992,0.085
01-02-1992,0.084
01-03-1992,0.086
01-04-1992,0.086
01-05-1992,0.087
01-06-1992,0.092
01-07-1992,0.092
01-08-1992,0.091
01-09-1992,0.092
01-10-1992,0.088
01-11-1992,0.086
01-12-1992,0.088
01-01-1993,0.089
01-02-1993,0.087
01-03-1993,0.088
01-04-1993,0.088
01-05-1993,0.09
01-06-1993,0.094
01-07-1993,0.095
01-08-1993,0.097
01-09-1993,0.097
01-10-1993,0.093
01-11-1993,0.091
01-12-1993,0.09
01-01-1994,0.09
01-02-1994,0.09
01-03-1994,0.089
01-04-1994,0.088
01-05-1994,0.09
01-06-1994,0.095
01-07-1994,0.095
01-08-1994,0.096
01-09-1994,0.096
01-10-1994,0.093
01-11-1994,0.091
01-12-1994,0.091
01-01-1995,0.091
01-02-1995,0.091
01-03-1995,0.091
01-04-1995,0.09
01-05-1995,0.092
01-06-1995,0.098
01-07-1995,0.098
01-08-1995,0.098
01-09-1995,0.097
01-10-1995,0.094
01-11-1995,0.092
01-12-1995,0.091
01-01-1996,0.091
01-02-1996,0.091
01-03-1996,0.092
01-04-1996,0.092
01-05-1996,0.092
01-06-1996,0.096
01-07-1996,0.099
01-08-1996,0.099
01-09-1996,0.099
01-10-1996,0.095
01-11-1996,0.092
01-12-1996,0.092
01-01-1997,0.092
01-02-1997,0.092
01-03-1997,0.093
01-04-1997,0.092
01-05-1997,0.093
01-06-1997,0.099
01-07-1997,0.099
01-08-1997,0.098
01-09-1997,0.099
01-10-1997,0.093
01-11-1997,0.092
01-12-1997,0.09
01-01-1998,0.086
01-02-1998,0.085
01-03-1998,0.085
01-04-1998,0.085
01-05-1998,0.086
01-06-1998,0.091
01-07-1998,0.091
01-08-1998,0.09
01-09-1998,0.089
01-10-1998,0.086
01-11-1998,0.084
01-12-1998,0.084
01-01-1999,0.084
01-02-1999,0.084
01-03-1999,0.084
01-04-1999,0.084
01-05-1999,0.085
01-06-1999,0.089
01-07-1999,0.09
01-08-1999,0.089
01-09-1999,0.09
01-10-1999,0.087
01-11-1999,0.085
01-12-1999,0.085
01-01-2000,0.084
