Year,GDP Deflator,Sector,Coal,Distillate,Residual,Kerosene,Propane,Natural Gas,Electricity,Wood,Motor Gasoline,Jet Fuel
1970,0.143281676,Commercial,0.48,1.14,0.42,0.73,1.42,1.17,7.80,,,
1970,0.143281676,Industrial,0.53,0.70,0.49,0.73,1.50,0.68,3.51,,,
1970,0.143281676,Residential,1.43,1.43,,1.56,2.65,1.37,8.83,0.40,,
1970,0.143281676,Transportation,,1.44,0.37,,1.42,0.00,4.82,,2.92,0.72
1971,0.149432424,Commercial,0.56,1.21,0.53,0.79,1.39,1.24,8.92,,,
1971,0.149432424,Industrial,0.64,0.75,0.65,0.79,1.47,0.76,3.89,,,
1971,0.149432424,Residential,1.83,1.51,,1.66,2.65,1.47,9.49,0.42,,
1971,0.149432424,Transportation,,1.45,0.47,,1.39,0.00,5.50,,3.02,0.75
1972,0.154322269,Commercial,0.52,1.21,0.61,0.78,1.36,1.28,9.52,,,
1972,0.154322269,Industrial,0.66,0.74,0.62,0.78,1.44,0.84,4.16,,,
1972,0.154322269,Residential,1.43,1.52,,1.65,2.66,1.58,10.05,0.42,,
1972,0.154322269,Transportation,,1.41,0.54,,1.36,0.00,6.30,,3.15,0.75
1973,0.163855929,Commercial,0.52,1.42,0.78,0.95,1.42,1.33,10.41,,,
1973,0.163855929,Industrial,0.75,0.91,0.77,0.95,1.52,0.88,4.43,,,
1973,0.163855929,Residential,1.49,1.73,,2.02,3.73,1.69,10.98,0.49,,
1973,0.163855929,Transportation,,1.75,0.70,,1.42,0.00,7.36,,3.35,0.89
1974,0.181969882,Commercial,1.09,2.34,1.98,2.28,2.41,1.55,15.22,,,
1974,0.181969882,Industrial,1.47,2.18,1.85,2.28,2.59,1.09,6.74,,,
1974,0.181969882,Residential,2.04,2.66,,3.04,4.34,1.96,14.98,0.75,,
1974,0.181969882,Transportation,,2.70,1.76,,2.41,0.00,12.40,,4.58,1.54
1975,0.198607655,Commercial,1.36,2.48,1.90,2.51,2.99,1.97,16.57,,,
1975,0.198607655,Industrial,1.82,2.36,2.01,2.51,3.25,1.47,7.97,,,
1975,0.198607655,Residential,2.78,2.81,,3.28,4.48,2.50,16.44,0.79,,
1975,0.198607655,Transportation,,2.84,1.67,,2.99,0.00,13.66,,4.80,2.01
1976,0.210017293,Commercial,1.35,2.64,1.85,2.54,3.05,2.32,17.38,,,
1976,0.210017293,Industrial,1.86,2.43,2.00,2.54,3.32,1.55,7.99,,,
1976,0.210017293,Residential,2.80,2.97,,3.43,4.91,2.83,16.97,0.85,,
1976,0.210017293,Transportation,,3.03,1.70,,3.05,0.00,13.84,,4.97,2.18
1977,0.223671954,Commercial,1.36,3.06,2.18,2.90,3.69,2.82,18.68,,,
1977,0.223671954,Industrial,1.83,2.79,2.26,2.90,4.09,1.90,8.97,,,
1977,0.223671954,Residential,3.04,3.37,,3.86,5.33,3.25,18.40,0.96,,
1977,0.223671954,Transportation,,3.47,1.94,,3.69,0.00,11.43,,5.24,2.51
1978,0.240740279,Commercial,1.46,3.22,1.98,3.07,3.76,3.02,18.24,,,
1978,0.240740279,Industrial,1.95,2.94,2.28,3.07,4.19,2.24,9.25,,,
1978,0.240740279,Residential,3.00,3.61,,4.09,5.77,3.63,18.97,1.01,,
1978,0.240740279,Transportation,,3.67,1.74,,3.76,0.00,13.42,,5.34,2.86
1979,0.267834325,Commercial,1.56,4.65,3.00,4.11,4.13,3.45,19.67,,,
1979,0.267834325,Industrial,1.99,3.92,2.81,4.11,4.49,2.70,10.42,,,
1979,0.267834325,Residential,3.09,5.13,,5.56,7.26,4.07,20.93,1.45,,
1979,0.267834325,Transportation,,5.24,2.66,,4.13,0.00,15.25,,7.41,3.85
