DATE,EMISSCO2TOTVTTTOUSA
1970-01-01,4252.119759
1971-01-01,4297.282895
1972-01-01,4516.734358
1973-01-01,4713.330487
1974-01-01,4541.830703
1975-01-01,4417.512241
1976-01-01,4686.283359
1977-01-01,4824.597268
1978-01-01,4866.074825
1979-01-01,4922.312683
1980-01-01,4749.052957
1981-01-01,4628.019975
1982-01-01,4385.177461
1983-01-01,4373.028419
1984-01-01,4598.042726
1985-01-01,4602.38824
1986-01-01,4605.299068
1987-01-01,4756.601275
1988-01-01,4984.97043
1989-01-01,5060.946773
1990-01-01,5021.814482
1991-01-01,4971.1206
1992-01-01,5062.695567
1993-01-01,5165.350744
1994-01-01,5240.403217
1995-01-01,5305.258704
1996-01-01,5503.136893
1997-01-01,5576.384129
1998-01-01,5612.864254
1999-01-01,5676.250234
2000-01-01,5864.979041
2001-01-01,5755.491594
2002-01-01,5793.81817
2003-01-01,5865.240171
2004-01-01,5963.808672
2005-01-01,5989.183004
2006-01-01,5906.163297
2007-01-01,5996.429314
2008-01-01,5803.598894
2009-01-01,5395.847121
2010-01-01,5585.184751
2011-01-01,5449.900033
2012-01-01,5229.594013
2013-01-01,5361.090748
2014-01-01,5417.285716
2015-01-01,5267.385812
2016-01-01,5179.779041
2017-01-01,5143.668483
2018-01-01,5295.585047
2019-01-01,5159.726035
2020-01-01,4594.7178
2021-01-01,4911.226943
